id_student,code_module,code_presentation,num_of_prev_attempts,studied_credits,outcome,gender_F,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,highest_education_A Level or Equivalent,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,imd_band_0-10%,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%,age_band_0-35,age_band_35-55,age_band_55<=,disability_Y,TMA1,TMA2,TMA3,PC1,PC2
11391,AAA,2013J,0,240,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.8,17.0,16.0,-0.22299754455593535,-0.21665237010419883
28400,AAA,2013J,0,60,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.0,13.6,14.0,0.11405602554720512,-0.41319795105631146
31604,AAA,2013J,0,60,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.2,14.2,14.8,0.5576247626620153,-0.5018483682250348
32885,AAA,2013J,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6.9,6.0,12.6,-0.338844465726733,-0.33790157933755
38053,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7.9,13.8,14.8,0.5937884920862513,-0.47500337011039623
45462,AAA,2013J,0,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7.0,13.0,12.4,-0.12050788707439529,-0.3413651403323886
45642,AAA,2013J,0,120,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.2,14.4,14.4,0.1400411199587812,-0.38297295884230614
52130,AAA,2013J,0,90,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.2,13.6,15.0,0.36083983256673885,-0.4096195624321826
53025,AAA,2013J,0,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.1,16.0,15.6,1.0703335515274803,-0.577204124018759
57506,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.8,15.2,15.6,0.15207256557734045,-0.4687311856176388
58873,AAA,2013J,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7.3,14.8,13.6,0.2619417842187607,-0.4078828405513783
59185,AAA,2013J,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.7,14.2,15.6,-0.01974464860553484,-0.320447351059233
62155,AAA,2013J,0,60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.3,17.0,15.0,1.5710863281907257,-0.732358198509993
63400,AAA,2013J,0,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8.3,8.4,15.6,1.0659864679460478,-0.6898030139267034
70464,AAA,2013J,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.9,12.0,12.0,-0.18270628376322698,-0.37908080641506103
71361,AAA,2013J,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.2,17.2,16.4,1.3877362268783107,-0.6642751982289388
74372,AAA,2013J,0,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.0,3.6,13.4,-1.0372777205913792,-0.19131675671901366
75091,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.7,13.2,13.4,0.945229704392115,-0.5056946724541889
77367,AAA,2013J,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7.3,15.2,14.4,-0.4783326310885378,-0.27800108625265085
91265,AAA,2013J,0,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5,14.8,15.0,0.2932952317040624,-0.43847570217841836
98094,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6.2,11.8,11.8,1.0051089139940157,-0.7589184494836168
100893,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.3,13.6,14.2,-0.47329269499831983,-0.2443911283896282
101781,AAA,2013J,0,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.4,12.8,15.0,2.1641205497018916,-0.9934720174000741
102806,AAA,2013J,0,60,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8.0,17.2,17.2,0.6040251031036544,-0.43642063101789164
102952,AAA,2013J,0,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.6,14.0,16.6,-0.36015147588164265,-0.3085112502390001
104476,AAA,2013J,0,60,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5,15.6,16.0,1.4180748751303593,-0.5855291417627134
106577,AAA,2013J,0,60,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5.7,10.2,11.2,-0.6187968743241387,-0.19867973065875902
110175,AAA,2013J,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.6,12.2,13.6,-0.35708233978389475,-0.056837253055649684
111717,AAA,2013J,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.0,0.0,16.0,1.0717791011316016,-0.5600106753557275
